adopter_id,house_type,family_composition,lifestyle,pet_experience,dog_id,dog_age,dog_size,dog_behavior,health_condition,match_category
Adopter 1,Medium,With Kids,Sedentary,Yes,1,2,Small,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,2,5,Small,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,3,3,Medium,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,4,1,Large,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,5,4,Medium,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,6,3,Small,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,7,1,Large,Calm,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,8,6,Large,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,9,3,Medium,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,10,7,Small,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,11,4,Medium,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,12,2,Small,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,13,1,Large,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,14,3,Medium,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,15,6,Medium,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,16,6,Small,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,17,1,Large,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,18,3,Medium,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,19,1,Large,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,20,2,Medium,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,21,2,Small,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,22,5,Large,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,23,6,Large,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,24,1,Small,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,25,1,Medium,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,26,1,Small,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,27,3,Medium,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,28,1,Large,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,29,1,Small,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,30,7,Medium,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,31,3,Medium,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,32,4,Small,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,33,1,Medium,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,34,3,Medium,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,35,5,Large,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,36,6,Large,Calm,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,37,2,Large,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,38,1,Medium,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,39,2,Small,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,40,1,Large,Calm,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,41,1,Medium,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,42,1,Large,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,43,2,Medium,Calm,Healthy,Good Match
